team_id,team_name,team_label
441,Free State,FS
442,Windward Islands,WI
443,West Indies Women,WIW
444,England,E
445,Multan Tigers,MT
446,Netherlands Under-15s,NU
447,Dolphins,D
448,Combined Campuses and Colleges,CCaC
449,Warriors,W
450,Hong Kong Women,HKW
451,Goa Under-16s,GU
452,Hobart Hurricanes,HH
453,Mangalore United,MU
454,Bengal,B
455,Gauteng,G
456,Singha Sports Club,SSC
457,South Africa,SA
458,Titans,T
459,Western Province Under-17s,WPU
460,Rajasthan,R
461,Gloucestershire,G
462,Public Works Department,PWD
463,Barbados Tridents,BT
464,New South Wales Under-23s,NSWU
465,Jamaica Under-19s,JU
466,Netherlands,N
467,India Women,IW
468,Northerns Under-17s,NU
469,Nepal Under-19s,NU
470,Chennai Super Kings,CSK
471,Baroda,B
472,Melbourne Stars,MS
473,Shakthi Ladies,SL
474,Zimbabwe Women,ZW
475,Unicorns A,UA
476,Marylebone Cricket Club Universities,MCCU
477,Northern Territory Under-17s,NTU
478,Warwickshire 2nd XI,W2X
479,Northern Territory Under-19s,NTU
480,Limpopo Under-15s,LU
481,Faisalabad,F
482,Chittagong Division,CD
483,Tasmania Second XI,TSX
484,Moors Sports Club,MSC
485,Zarai Taraqiati Bank Limited,ZTBL
486,Australian Cricket Academy,ACA
487,Sri Lanka Army,SLA
488,KwaZulu-Natal Inland Under-19s,KIU
489,Cardiff MCCU,CM
490,Matabeleland Tuskers,MT
491,Royal College,RC
492,Khan Research Labs,KRL
493,Rest of Punjab,RoP
494,Police Sports Club,PSC
495,Cambridge University,CU
496,Barbados Under-19s,BU
497,Khan Research Laboratories,KRL
498,Pakistan A,PA
499,United States of America Under-19s,USoAU
500,Essex,E
501,Haryana,H
502,Sargodha,S
503,South Africa Women,SAW
504,Free State Under-13s,FSU
505,Kolkata Knight Riders,KKR
506,Orissa,O
507,South Africa A,SAA
508,Tasmania Under-23s,TU
509,Netherlands Under-17s,NU
510,New South Wales Under-17s,NSWU
511,Easterns Under-19s,EU
512,Assam Under-16s,AU
513,Yorkshire 2nd XI,Y2X
514,Ireland A,IA
515,Worcestershire 2nd XI,W2X
516,Chilaw Marians Cricket Club,CMCC
517,Somerset,S
518,New Zealand A,NZA
519,Glamorgan,G
520,Bangladesh,B
521,Mashonaland A,MA
522,South Zone,SZ
523,Northamptonshire 2nd XI,N2X
524,Scotland,S
525,Moratuwa Sports Club Women,MSCW
526,Malaysia Under-15s,MU
527,Glamorgan 2nd XI,G2X
528,Victoria Second XI,VSX
529,Lancashire Cricket Board,LCB
530,Northerns,N
531,Gujarat Lions,GL
532,Griqualand West Under-19s,GWU
533,Galle Cricket Club,GCC
534,Nalanda College,NC
535,Trinbago Knight Riders,TKR
536,Peshawar Cricket Association,PCA
537,Victoria Under-19s,VU
538,Madhya Pradesh Under-16s,MPU
539,New South Wales,NSW
540,England Under-19s,EU
541,Australia Under-19s,AU
542,Amo Region,AR
543,Limpopo Under-13s,LU
544,Sussex 2nd XI,S2X
545,Northerns Under-13s,NU
546,Eastern Province Under-13s,EPU
547,South Western Districts Under-15s,SWDU
548,Essex 2nd XI,E2X
549,Tripura,T
550,Kandy Cricket Club,KCC
551,South Western Districts Women,SWDW
552,Gujarat,G
553,Assam,A
554,ICC World XI,IWX
555,Scotland Under-19s,SU
556,Jammu & Kashmir Under-19s,J&KU
557,Belagavi Panthers,BP
558,Buckinghamshire,B
559,Delhi Under-19s,DU
560,Mpumalanga Under-19s,MU
561,Yorkshire,Y
562,Griqualand West Under-17s,GWU
563,Yorkshire Academy,YA
564,Quetta,Q
565,Boost Region,BR
566,Colts Cricket Club,CCC
567,Antigua and Barbuda,AaB
568,Griqualand West Under-13s,GWU
569,Griqualand West,GW
570,Surrey 2nd XI,S2X
571,Mumbai Indians,MI
572,Afghanistan Under-19s,AU
573,Kandy Youth Cricket Club,KYCC
574,Mpumalanga Under-17s,MU
575,Panadura Sports Club,PSC
576,Badureliya Sports Club,BSC
577,Tamil Nadu,TN
578,Allied Bank,AB
579,Scotland Under-17s,SU
580,West Indies,WI
581,Kent Cricket Board,KCB
582,Hampshire Cricket Academy,HCA
583,United States of America Women,USoAW
584,Hong Kong Under-19s,HKU
585,Netherlands Under-13s,NU
586,Eastern Province,EP
587,Western Province Under-13s,WPU
588,Nepal,N
589,Bahawalpur,B
590,West Indies A,WIA
591,New South Wales Second XI,NSWSX
592,India,I
593,Basnahira North,BN
594,KwaZulu-Natal Inland Under-15s,KIU
595,Western Province Under-15s,WPU
596,Netherlands Under-19s,NU
597,Colombo Cricket Club,CCC
598,Northumberland,N
599,Border Under-13s,BU
161,Delhi Capitals,DC
147,Punjab Kings,PK
